cast,genres,movie_id,original_title,plot
"['E.G. Daily', 'Nancy Cartwright', 'Kath Soucie']","['Animation', 'Family']",20694,Rugrats Go Wild,Rugrats Go Wild is a 2003 crossover animated f...
"['Eddie Griffin', 'Chris Kattan', 'Denise Rich...","['Action', 'Comedy']",12277,Undercover Brother,"An Afro-American organization, the B.R.O.T.H.E..."
"['Amber Tamblyn', 'Alexis Bledel', 'America Fe...","['Drama', 'Comedy']",9779,The Sisterhood of the Traveling Pants,"Four best friends (Tibby, Lena, Carmen &amp; B..."
"['Jet Li', 'Bridget Fonda', 'Tchéky Karyo']","['Action', 'Crime', 'Thriller']",2140,Kiss of the Dragon,"Liu Jian, an elite Chinese police officer, com..."
"['Anna Faris', 'Emma Stone', 'Kat Dennings']","['Romance', 'Comedy']",12620,The House Bunny,Shelley is living a carefree life until a riva...
"['Queen Latifah', 'Alicia Silverstone', 'Andie...","['Comedy', 'Romance']",14177,Beauty Shop,You thought you'd heard it all in the barbersh...
"['Jon Hamm', 'Bill Paxton', 'Lake Bell']",['Drama'],198185,Million Dollar Arm,"In a last-ditch effort to save his career, spo..."
"['Jeff Bridges', 'Meryl Streep', 'Brenton Thwa...","['Drama', 'Science Fiction']",227156,The Giver,"In a seemingly perfect community, without war,..."
"['Amanda Bynes', 'Colin Firth', 'Kelly Preston']",['Comedy'],10735,What a Girl Wants,"An American girl, Daphne, heads to Europe in s..."
"['Ray Wise', 'Jonathan Breck', 'Garikayi Mutam...","['Horror', 'Thriller']",11351,Jeepers Creepers 2,After 23 horrifying days of gorging on human f...
"['Dane Cook', 'Jessica Alba', 'Dan Fogler']","['Comedy', 'Drama', 'Romance']",10030,Good Luck Chuck,"Cursed since childhood, dentist Charlie Kagan ..."
"['Jet Li', 'DMX', 'Kelly Hu']","['Action', 'Crime', 'Drama']",10623,Cradle 2 the Grave,Gang leader Tony pulls off a major diamond hei...
"['Nicole Kidman', 'Julianne Moore', 'Meryl Str...",['Drama'],590,The Hours,"""The Hours"" is the story of three women search..."
"['Amanda Bynes', 'Channing Tatum', 'Laura Rams...","['Comedy', 'Drama', 'Family']",9655,She's the Man,Viola Johnson is in a real jam. Complications ...
"['Rowan Atkinson', 'Max Baldry', 'Emma de Caun...","['Family', 'Comedy']",1268,Mr. Bean's Holiday,Mr. Bean wins a trip to Cannes where he unwitt...
"['Johnny Messner', 'KaDee Strickland', 'Matthe...","['Adventure', 'Action', 'Horror']",11237,Anacondas: The Hunt for the Blood Orchid,The blood orchid - A rare flower that holds th...
"['Clive Owen', 'Billy Crudup', 'Marion Cotilla...","['Thriller', 'Crime', 'Drama']",190955,Blood Ties,"Two brothers, on either side of the law, face ..."
"['Freddie Highmore', 'Keri Russell', 'Jonathan...",['Drama'],5123,August Rush,"A drama with fairy tale elements, where an orp..."
"['Cate Blanchett', 'Geoffrey Rush', 'Christoph...","['Drama', 'History']",4518,Elizabeth,The story of the ascension to the throne and t...
"['Ed Gale', 'Jennifer Tilly', 'Brad Dourif']","['Horror', 'Comedy']",11932,Bride of Chucky,"Chucky hooks up with another murderous doll, t..."
"['Martin Balsam', 'Sô Yamamura', 'Joseph Cotten']","['History', 'Action', 'Drama']",11165,Tora! Tora! Tora!,"In the summer of 1941, the United States and J..."
"['Victoria Beckham', 'Melanie Brown', 'Emma Bu...","['Adventure', 'Fantasy', 'Drama']",6116,Spice World,The film follows the Spice Girls and their ent...
"['Sam Rockwell', 'Jonah Hill', 'Max Records']",['Comedy'],57431,The Sitter,"Noah, is not your typical entertain-the-kids-n..."
"['Shoshana Bush', 'Damon Wayans Jr.', 'Essence...","['Action', 'Comedy', 'Music']",21724,Dance Flick,"Street dancer, Thomas Uncles is from the wrong..."
"['Tim Robbins', 'Morgan Freeman', 'Bob Gunton']","['Drama', 'Crime']",278,The Shawshank Redemption,Framed in the 1940s for the double murder of h...
"['Paul Hogan', 'Linda Kozlowski', 'Jere Burns']","['Adventure', 'Comedy']",9290,Crocodile Dundee in Los Angeles,After settling in the tiny Australian town of ...
"['Woody Harrelson', 'Randy Quaid', 'Vanessa An...",['Comedy'],11543,Kingpin,After bowler Roy Munson swindles the wrong cro...
"['Mark Wahlberg', 'John Goodman', 'Brie Larson']","['Thriller', 'Crime', 'Drama']",284536,The Gambler,Literature professor Jim Bennett leads a secre...
"['Meryl Streep', 'Julia Roberts', 'Chris Cooper']","['Comedy', 'Drama']",152737,August: Osage County,A look at the lives of the strong-willed women...
"['Michelle Trachtenberg', 'Joan Cusack', 'Amy ...","['Drama', 'Comedy', 'Family']",13374,Ice Princess,"With the help of her coach, her parents, and t..."
"['Ashton Kutcher', 'Amanda Peet', 'Aimee Garcia']",['Comedy'],8976,A Lot Like Love,"On a flight from Los Angeles to New York, Oliv..."
"['Taron Egerton', 'Hugh Jackman', 'Christopher...","['Comedy', 'Drama', 'History']",319888,Eddie the Eagle,"Inspired by true events, Eddie the Eagle is a ..."
"['Denzel Washington', 'Ray Allen', 'Milla Jovo...",['Drama'],9469,He Got Game,A basketball player's father must try to convi...
"['Johnny Depp', 'Marlon Brando', 'Faye Dunaway']","['Romance', 'Drama', 'Comedy']",1909,Don Juan DeMarco,John Arnold DeMarco is a man who believes he i...
"['Amanda Seyfried', 'Channing Tatum', 'Henry T...","['Drama', 'Romance', 'War']",22971,Dear John,Sergeant John Tyree is home on a 2 week leave ...
"['Jeffrey Dean Morgan', 'Zoe Saldana', 'Chris ...","['Action', 'Adventure', 'Crime']",34813,The Losers,"A tale of double cross and revenge, centered u..."
"['Katie Holmes', 'Guy Pearce', 'Bailee Madison']","['Fantasy', 'Horror', 'Thriller']",46261,Don't Be Afraid of the Dark,A young girl sent to live with her father and ...
"['Jet Li', 'Jason Statham', 'John Lone']","['Action', 'Thriller', 'Crime']",10431,War,FBI agent Jack Crawford is out for revenge whe...
"['Adam Sandler', 'Emily Watson', 'Philip Seymo...","['Comedy', 'Drama', 'Romance']",8051,Punch-Drunk Love,A beleaguered small-business owner gets a harm...
"['Scott Mechlowicz', 'Jacob Pitts', 'Michelle ...",['Comedy'],9352,EuroTrip,When Scott learns that his longtime cyber-budd...
"['Steven Seagal', 'Morris Chestnut', 'Ja Rule']","['Crime', 'Action', 'Thriller']",10167,Half Past Dead,This movie tells the story of a man who goes u...
"['Lewis Black', 'Wilmer Valderrama', 'Tyler Ja...","['Comedy', 'Family']",18147,Unaccompanied Minors,Five disparate kids snowed in at the airport o...
"['Michael J. Fox', 'Kiefer Sutherland', 'Phoeb...",['Drama'],17170,"Bright Lights, Big City",A young kid from Kansas moves to New York to w...
"['Martin Landau', 'Jonathan Taylor Thomas', 'G...","['Animation', 'Family', 'Fantasy']",18975,The Adventures of Pinocchio,One of puppet-maker Geppetto's creations comes...
"['Shia LaBeouf', 'Stephen Dillane', 'Josh Flit...","['Drama', 'Family']",15487,The Greatest Game Ever Played,A biopic of 20-year-old Francis Ouimet who def...
"['Cameron Diaz', 'James Marsden', 'Frank Lange...","['Thriller', 'Science Fiction']",22825,The Box,"Norma and Arthur Lewis, a suburban couple with..."
"['Shawn Ashmore', 'Jonathan Tucker', 'Jena Mal...","['Drama', 'Horror']",11152,The Ruins,A group of friends whose leisurely Mexican hol...
"['Madonna', 'Rupert Everett', 'Benjamin Bratt']",['Comedy'],1831,The Next Best Thing,A comedy-drama about best friends - one a stra...
"['Max Thieriot', 'John Magaro', 'Denzel Whitak...","['Drama', 'Horror', 'Mystery']",43931,My Soul to Take,A serial killer returns to his hometown to sta...
"['Emile Hirsch', 'Elisha Cuthbert', 'Timothy O...",['Comedy'],10591,The Girl Next Door,Exceptionally ambitious high schooler Matthew ...
"['Jean-Claude Van Damme', 'Natasha Henstridge'...","['Action', 'Adventure', 'Thriller']",10861,Maximum Risk,A policeman takes his twin brother's place and...
"['Jason Lee', 'Tom Green', 'Leslie Mann']","['Action', 'Comedy', 'Drama']",12770,Stealing Harvard,John and his girlfriend have vowed to marry on...
"['Tom Hardy', 'Emily Browning', 'Christopher E...","['Crime', 'Thriller']",276907,Legend,"Suave, charming and volatile, Reggie Kray and ..."
"['Andy Samberg', 'Isla Fisher', 'Bill Hader']","['Action', 'Comedy']",10074,Hot Rod,"For Rod Kimball, performing stunts is a way of..."
"['Sara Paxton', 'Chris Carmack', 'Joel David M...","['Horror', 'Thriller']",65055,Shark Night,A weekend at a lake house in the Louisiana Gul...
"['Emily Watson', 'Robert Carlyle', 'Joe Breen']",['Drama'],10397,Angela's Ashes,Based on the best selling autobiography by Iri...
"['Kevin Costner', 'Jennifer Garner', 'Tom Well...",['Drama'],200505,Draft Day,"At the NFL Draft, general manager Sonny Weaver..."
"['Steve Railsback', 'Peter Firth', 'Frank Finl...","['Fantasy', 'Horror', 'Science Fiction']",11954,Lifeforce,A space shuttle mission investigating Halley's...
"['Evan Rachel Wood', 'James McAvoy', 'Kevin Kl...","['Crime', 'Drama', 'History']",60309,The Conspirator,Mary Surratt is the lone female charged as a c...
"['Emile Hirsch', 'Victor Rasuk', 'Rebecca De M...",['Drama'],9787,Lords of Dogtown,The film follows the surf and skateboarding tr...
"['Antonio Banderas', 'Rodrigo Santoro', 'Julie...","['Drama', 'History']",293646,The 33,Based on a true story about the collapse at th...
"['Kurt Russell', 'Kim Cattrall', 'Dennis Dun']","['Action', 'Adventure', 'Comedy']",6978,Big Trouble in Little China,"When trucker, Jack Burton agreed to take his f..."
"['Diane Kruger', 'Dany Boon', 'Alice Pol']","['Comedy', 'Romance']",133698,Un Plan parfait,Successful woman in love tries to break her fa...
"['Tom Hardy', 'Jennifer Morrison', 'Nick Nolte']","['Action', 'Drama']",59440,Warrior,The inspirational story of an estranged family...
"['Liam Neeson', 'Aidan Quinn', 'Stephen Rea']","['Drama', 'Thriller']",1770,Michael Collins,Michael Collins plays a crucial role in the es...
"['Jeff Daniels', 'Tom Berenger', 'Martin Sheen']","['War', 'Drama', 'History']",10655,Gettysburg,Summer 1863. The Confederacy pushes north into...
"['Ryan Phillippe', 'Abbie Cornish', 'Joseph Go...","['Drama', 'War']",8988,Stop-Loss,A veteran soldier returns from his completed t...
"['Katie Holmes', 'Benjamin Bratt', 'Charlie Hu...","['Drama', 'Mystery', 'Thriller']",15992,Abandon,A psychological thriller about a senior at one...
"['Claire Danes', 'Kate Beckinsale', 'Bill Pull...","['Drama', 'Thriller']",17707,Brokedown Palace,Best friends Alice and Darlene take a trip to ...
"['Jeffrey Dean Morgan', 'Natasha Calis', 'Madi...","['Horror', 'Thriller']",77883,The Possession,A young girl buys an antique box at a yard sal...
"['Shirley MacLaine', 'Ricki Lake', 'Brendan Fr...","['Comedy', 'Romance', 'Drama']",40001,Mrs. Winterbourne,Connie Doyle is eighteen and pregnant her boyf...
"['James Marsden', 'Kate Bosworth', 'Alexander ...","['Drama', 'Thriller']",64639,Straw Dogs,L.A. screenwriter David Sumner relocates with ...
"['Richard Gere', 'Alfred Molina', 'Marcia Gay ...","['Comedy', 'Drama']",9903,The Hoax,"In what would cause a fantastic media frenzy, ..."
"['Brian Bosworth', 'Lance Henriksen', 'William...","['Action', 'Crime', 'Thriller']",21338,Stone Cold,"Joe Huff (Brian Bosworth) is a tough, loner co..."
"['Viggo Mortensen', 'Kodi Smit-McPhee', 'Charl...","['Adventure', 'Drama']",20766,The Road,A father and his son walk alone through burned...
"['Tanya Roberts', 'Ted Wass', 'Donovan Scott']","['Action', 'Adventure', 'Comedy']",24264,Sheena,Sheena's white parents are killed while on Saf...
"['Nick Cannon', 'Roselyn Sánchez', 'Shawn Ashm...","['Action', 'Comedy']",19803,Underclassman,A young detective goes undercover at an elite ...
"['Chris Klein', 'Heather Graham', 'Orlando Jon...","['Comedy', 'Romance']",20309,Say It Isn't So,Boy meets girl; boy falls in love (and had wil...
"['Anthony Hopkins', 'Iain Rea', 'Tessa Mitchell']",['Drama'],9912,The World's Fastest Indian,"The life story of New Zealander Burt Munro, wh..."
"['Lori Petty', 'Ice-T', 'Naomi Watts']","['Action', 'Comedy', 'Fantasy']",9067,Tank Girl,"Based on the British cult comic-strip, our tan..."
"['Anthony Anderson', 'Jay Mohr', 'Kellita Smith']","['Comedy', 'Crime']",27360,King's Ransom,Hoping to foil his own gold-digging wife's pla...
"['Julianne Moore', 'Mark Ruffalo', 'Alice Braga']","['Drama', 'Mystery', 'Science Fiction']",8338,Blindness,When a sudden plague of blindness devastates a...
"['Kristanna Loken', 'Ben Kingsley', 'Michelle ...","['Action', 'Adventure', 'Fantasy']",168705,BloodRayne,"In eighteenth century Romania, Rayne, a dhampi..."
"['Kate Winslet', 'Jodie Foster', 'Christoph Wa...","['Comedy', 'Drama']",72113,Carnage,After 11-year-old Zachary Cowan strikes his cl...
"['Kevin Bacon', 'Colin Firth', 'Alison Lohman']","['Drama', 'Mystery', 'Thriller']",9729,Where the Truth Lies,An ambitious reporter probes the reasons behin...
"['Erica Linz', 'Igor Zaripov', 'Matt Gillanders']","['Fantasy', 'Family']",94352,Cirque du Soleil: Worlds Away,An original story featuring performances by Ci...
"['Billy Crudup', 'Donald Sutherland', 'Monica ...",['Drama'],22256,Without Limits,The film follows the life of famous 1970s runn...
"['Zac Efron', 'Claire Danes', 'Christian McKay']","['Comedy', 'Drama', 'Romance']",12404,Me and Orson Welles,"New York, 1937. A teenager hired to star in Or..."
"['Geoffrey Rush', 'Jim Sturgess', 'Sylvia Hoeks']","['Drama', 'Romance', 'Crime']",152742,La migliore offerta,Virgil Oldman is a world renowned antiques exp...
"['Nicolas Cage', 'Eva Mendes', 'Val Kilmer']","['Drama', 'Crime']",11699,The Bad Lieutenant: Port of Call - New Orleans,"Terrence McDonagh, a New Orleans Police sergea..."
"['Yuri Lowenthal', 'Gemma Arterton', 'Isabelle...","['Animation', 'Family']",49953,Sammy's avonturen: De geheime doorgang,A sea turtle who was hatched in 1959 spends th...
"['François Cluzet', 'Marion Cotillard', 'Benoî...","['Comedy', 'Drama']",48034,Les petits mouchoirs,"Despite a traumatic event, a group of friends ..."
"['Helen Mirren', 'Joe Pesci', 'Sergio Peris-Me...",['Drama'],39845,Love Ranch,Story of a couple that starts the first legal ...
"['Jérôme Deschamps', 'Yolande Moreau', 'Louise...","['Family', 'Adventure', 'Animation']",25353,La véritable histoire du Chat Botté,A free adaptation of Charles Perrault's famous...
"['Anna Bolshova', 'Evgeny Mironov', 'Sergey Ga...","['Family', 'Animation']",36696,Белка и Стрелка. Звёздные собаки,"Belka, the amazing flying dog is unexpectedly ..."
"['Michael Fassbender', 'Cameron Diaz', 'Javier...","['Thriller', 'Crime', 'Drama']",109091,The Counselor,A rich and successful lawyer named Counselor i...
"['James Purefoy', 'Kate Mara', 'Jason Flemyng']","['Romance', 'Adventure', 'Action']",38543,Ironclad,"In the year 1215, the rebel barons of England ..."
"['Rod Steiger', 'Christopher Plummer', 'Orson ...","['History', 'Action', 'Drama']",33157,Waterloo,After defeating France and imprisoning Napoleo...
"['Donnie Yen', 'Charlie Yeung', 'Wang Baoqiang']","['Crime', 'Action', 'Thriller']",290864,一個人的武林,A martial arts instructor working at a police ...
"['Cam Gigandet', 'Rachael Leigh Cook', 'Shane ...","['Action', 'Thriller']",242166,Red Sky,Disgraced Top Gun fighter pilot Butch Masters ...
"['Glenn Close', 'John Malkovich', 'Michelle Pf...","['Drama', 'Romance']",859,Dangerous Liaisons,Dangerous Liaisons is the film based on the no...
"['Garrett Hedlund', 'Sam Riley', 'Kristen Stew...","['Adventure', 'Drama']",83770,On the Road,Dean and Sal are the portrait of the Beat Gene...
"['William Shatner', 'Leonard Nimoy', 'DeForest...","['Science Fiction', 'Adventure']",168,Star Trek IV: The Voyage Home,Fugitives of the Federation for their daring r...
"['Sylvester Stallone', 'Burt Young', 'Milo Ven...",['Drama'],1246,Rocky Balboa,When he loses a highly publicized virtual boxi...
"['David Arquette', 'Neve Campbell', 'Courteney...","['Horror', 'Mystery']",4233,Scream 2,Two years after the terrifying events that occ...
"['Natalie Portman', 'Joel Edgerton', 'Ewan McG...","['Action', 'Drama', 'Western']",174751,Jane Got a Gun,After her outlaw husband returns home shot wit...
"['Adam Brody', 'Michael Ealy', 'Jerry Ferrara']","['Comedy', 'Romance']",184098,Think Like a Man Too,All the couples are back for a wedding in Las ...
"['Bruce Willis', 'Matthew Perry', 'Rosanna Arq...","['Comedy', 'Crime']",2069,The Whole Nine Yards,A mobster named Jimmy the Tulip agrees to coop...
"['Kevin Bacon', 'John Lithgow', 'Dianne Wiest']","['Drama', 'Family', 'Music']",1788,Footloose,When teenager Ren and his family move from big...
"['Luke Wilson', 'Will Ferrell', 'Vince Vaughn']",['Comedy'],11635,Old School,Three friends attempt to recapture their glory...
"['Jeff Bridges', 'Robin Williams', 'Mercedes R...","['Comedy', 'Drama']",177,The Fisher King,Two troubled men face their terrible destinies...
"['Jennifer Love Hewitt', 'Freddie Prinze Jr.',...","['Horror', 'Mystery', 'Thriller']",3600,I Still Know What You Did Last Summer,Unfinished business with coed Julie James brin...
"['David Duchovny', 'Minnie Driver', ""Carroll O...","['Romance', 'Comedy', 'Drama']",2621,Return to Me,It took a lot of cajoling to get Bob (Duchovny...
"['Seth Rogen', 'Elizabeth Banks', 'Jennifer Sc...",['Comedy'],10358,Zack and Miri Make a Porno,Lifelong platonic friends Zack and Miri look t...
"['Renée Zellweger', 'Morgan Freeman', 'Chris R...","['Comedy', 'Crime', 'Thriller']",10480,Nurse Betty,What happens when a person decides that life i...
"['George Clooney', 'Ewan McGregor', 'Jeff Brid...","['Comedy', 'War']",10313,The Men Who Stare at Goats,A reporter in Iraq might just have the story o...
"['Orlando Jones', 'Eddie Griffin', 'Garcelle B...","['Adventure', 'Drama', 'Action']",18828,Double Take,The governor of a Mexican state is assassinate...
"['Winona Ryder', 'Angelina Jolie', 'Clea DuVall']",['Drama'],3558,"Girl, Interrupted","Set in the changing world of the late 1960's, ..."
"['Josh Duhamel', 'Kate Bosworth', 'Topher Grace']","['Comedy', 'Romance']",13476,Win a Date with Tad Hamilton!,A small-town girl wins a date with a Hollywood...
"['Steve Whitmire', 'Dave Goelz', 'Bill Barretta']","['Fantasy', 'Comedy', 'Science Fiction']",10208,Muppets from Space,When Gonzo's breakfast cereal tells him that h...
"['Diana Ross', 'Michael Jackson', 'Nipsey Russ...","['Adventure', 'Family', 'Fantasy']",24961,The Wiz,A Thanksgiving dinner brings a host of family ...
"['David Arquette', 'Scott Caan', 'Oliver Platt']","['Action', 'Comedy', 'Drama']",20697,Ready to Rumble,Two slacker wrestling fans are devastated by t...
"['Antonio Banderas', 'Woody Harrelson', 'Lolit...","['Comedy', 'Drama']",20761,Play It to the Bone,"Two aging fighters in LA, friends, get a call ..."
"['Sarah Jessica Parker', 'Pierce Brosnan', 'Sa...","['Romance', 'Comedy']",70868,I Don't Know How She Does It,"A comedy centered on the life of Kate Reddy, a..."
"['Elisabeth Shue', 'Adam Scott', ""Jerry O'Conn...","['Comedy', 'Horror']",43593,Piranha 3D,Each year the population of sleepy Lake Victor...
"['Kevin Spacey', 'Kate Bosworth', 'John Goodman']","['Drama', 'Music']",6478,Beyond the Sea,Based on the life and career of legendary ente...
"['Paul Walker', 'John Ashton', 'Dennis Hopper']","['Animation', 'Comedy', 'Family']",40688,Meet the Deedles,Two surfers end up as Yellowstone park rangers...
"['Vincent Price', 'Anthony Quayle', 'Sean Conn...","['Adventure', 'Fantasy', 'Animation']",26672,The Thief and the Cobbler,It is written among the limitless constellatio...
"['Gabriel Byrne', 'F. Murray Abraham', 'Kathy ...","['Romance', 'Drama']",45881,The Bridge of San Luis Rey,The Bridge of San Luis Rey is American author ...
"['Dwayne Johnson', 'Billy Bob Thornton', 'Magg...","['Crime', 'Drama', 'Action']",41283,Faster,Driver (Dwayne Johnson) has spent the last 10 ...
"['Takuya Kimura', 'Akihiro Miwa', 'Tatsuya Gas...","['Fantasy', 'Animation', 'Adventure']",4935,ハウルの動く城,"When Sophie, a shy young woman, is cursed with..."
"['Jesse Eisenberg', 'Woody Harrelson', 'Emma S...","['Comedy', 'Horror']",19908,Zombieland,Columbus has made a habit of running from what...
"['Adam Sandler', 'Kathy Bates', 'Fairuza Balk']",['Comedy'],10663,The Waterboy,Bobby Boucher is a water boy for a struggling ...
"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher']","['Adventure', 'Action', 'Science Fiction']",1891,The Empire Strikes Back,"The epic saga continues as Luke Skywalker, in ..."
"['Will Smith', 'Martin Lawrence', 'Téa Leoni']","['Action', 'Comedy', 'Crime']",9737,Bad Boys,Marcus Burnett is a hen-pecked family man. Mik...
"['Leslie Nielsen', 'Priscilla Presley', 'Georg...","['Comedy', 'Crime']",37137,The Naked Gun 2½: The Smell of Fear,Bumbling cop Frank Drebin is out to foil the b...
"['Devon Sawa', 'Ali Larter', 'Kerr Smith']",['Horror'],9532,Final Destination,After a teenager has a terrifying vision of hi...
"['Ryan Gosling', 'George Clooney', 'Philip Sey...",['Drama'],10316,The Ides of March,Dirty tricks stand to soil an ambitious young ...
"['Vin Diesel', 'Radha Mitchell', 'Cole Hauser']","['Thriller', 'Science Fiction', 'Action']",2787,Pitch Black,When their ship crash-lands on a remote planet...
"['Ashley Judd', 'Greg Kinnear', 'Hugh Jackman']","['Comedy', 'Romance']",12658,Someone Like You...,Jane Goodale has everything going for her. She...
"['Joaquin Phoenix', 'Scarlett Johansson', 'Roo...","['Romance', 'Science Fiction', 'Drama']",152601,Her,"In the not so distant future, Theodore, a lone..."
"['Steve Zahn', 'Paul Walker', 'Leelee Sobieski']","['Mystery', 'Thriller', 'Drama']",10866,Joy Ride,Three young people on a road trip from Colorad...
"['Aneurin Barnard', 'Michael Sheen', 'Lena Hea...","['Fantasy', 'Adventure', 'Family']",227707,The Adventurer: The Curse of the Midas Box,17-year-old Mariah Mundi's life is turned upsi...
"['Susan Sarandon', 'Natalie Portman', 'Hart Bo...","['Drama', 'Comedy', 'Romance']",21349,Anywhere But Here,"In this adaptation of the Mona Simpson novel, ..."
"['Richard Dreyfuss', 'Burt Reynolds', 'Dan Hed...","['Action', 'Comedy']",19150,The Crew,Four retired mobsters plan one last crime to s...
"['Gina Carano', 'Ewan McGregor', 'Michael Fass...","['Action', 'Thriller']",70435,Haywire,Mallory Kane is a highly trained operative who...
"['Lorraine Gary', 'Lance Guest', 'Mario Van Pe...","['Adventure', 'Thriller']",580,Jaws: The Revenge,"After another deadly shark attack, Ellen Brody..."
"['Diane Keaton', 'Meryl Streep', 'Leonardo DiC...",['Drama'],9819,Marvin's Room,A leukemia patient attempts to end a 20-year f...
"['Ice Cube', 'Keke Palmer', 'Tasha Smith']","['Drama', 'Family']",13579,The Longshots,"The true story of Jasmine Plummer who, at the ..."
"['Ralph Fiennes', 'Stephen Rea', 'Julianne Moo...",['Drama'],20024,The End of the Affair,"On a rainy London night in 1946, novelist Maur..."
"['Mickey Rourke', 'Don Johnson', 'Chelsea Field']","['Action', 'Thriller']",2453,Harley Davidson and the Marlboro Man,"It's the lawless future, and renegade biker Ha..."
"['Tommy Lee Jones', 'Charlize Theron', 'Susan ...","['History', 'Drama', 'Thriller']",6973,In the Valley of Elah,A career officer and his wife work with a poli...
"['Audrey Tautou', 'Benoît Poelvoorde', 'Alessa...","['Drama', 'History']",11156,Coco avant Chanel,2009 biopic about the early life of Coco Chane...
"['Demi Moore', 'Kiefer Sutherland', 'Donald Su...","['Western', 'Drama']",354110,Forsaken,John Henry returns to his hometown in hopes of...
"['Michelle Pfeiffer', 'Kathy Bates', 'Rupert F...","['Drama', 'Comedy', 'Romance']",22215,Chéri,A sumptuous dramatic comedy set in late 19th C...
"['Reese Witherspoon', 'James Purefoy', 'Jonath...","['Drama', 'Romance']",11632,Vanity Fair,"Beautiful, funny, passionate, and calculating,..."
"['Donnie Yen', 'Wang Xue-qi', 'Tony Leung Ka-F...","['Drama', 'Action', 'History']",30596,十月圍城,"In 1905, revolutionist Sun Yat-Sen visits Hong..."
"['John Cusack', 'Samuel L. Jackson', 'Mary McC...","['Horror', 'Thriller']",3021,1408,A man who specializes in debunking paranormal ...
"['Mel Brooks', 'Rick Moranis', 'Bill Pullman']","['Comedy', 'Science Fiction']",957,Spaceballs,When the nefarious Dark Helmet hatches a plan ...
"['Russell Crowe', 'Olga Kurylenko', 'Yılmaz Er...","['War', 'Drama']",256917,The Water Diviner,"In 1919, Australian farmer Joshua Connor trave..."
"['Patrick Swayze', 'Demi Moore', 'Whoopi Goldb...","['Fantasy', 'Drama', 'Thriller']",251,Ghost,"Sam Wheat is a banker, Molly Jensen is an arti..."
"['Cameron Diaz', 'Ben Stiller', 'Matt Dillon']","['Romance', 'Comedy']",544,There's Something About Mary,Having never fully recovered from a prom date ...
"['Tim Allen', 'Judge Reinhold', 'Wendy Crewson']","['Fantasy', 'Drama', 'Comedy']",11395,The Santa Clause,"Scott Calvin is an ordinary man, who accidenta..."
"['Dennis Quaid', 'Rachel Griffiths', 'Beth Gra...","['Drama', 'Family']",14635,The Rookie,Jim Morris never made it out of the minor leag...
"['Dwayne Johnson', 'Madison Pettis', 'Kyra Sed...","['Comedy', 'Family']",13680,The Game Plan,Bachelor football star Joe Kingman seems to ha...
"['Meryl Streep', 'Clint Eastwood', 'Annie Corl...","['Drama', 'Romance']",688,The Bridges of Madison County,Photographer Robert Kincaid wanders into the l...
"['Rob Schneider', 'Colleen Haskell', 'John C. ...","['Action', 'Comedy']",11090,The Animal,When loser Marvin Mange is involved in a horri...
"['Ben Kingsley', 'Candice Bergen', 'Edward Fox']","['Drama', 'History']",783,Gandhi,"In the early years of the 20th century, Mohand..."
"['Helen Mirren', 'Manish Dayal', 'Om Puri']",['Drama'],228194,The Hundred-Foot Journey,A story centered around an Indian family who m...
"['Sandra Bullock', 'Jeremy Northam', 'Dennis M...","['Crime', 'Drama', 'Mystery']",1642,The Net,Angela Bennett is a freelance software enginee...
"['Sean Penn', 'Michelle Pfeiffer', 'Dianne Wie...",['Drama'],10950,I Am Sam,Sam has the mental capacity of a 7-year-old. H...
"['Roma Downey', 'Diogo Morgado', 'Louise Delam...",['Drama'],235260,Son of God,The life story of Jesus is told from his humbl...
"['Kate Beckinsale', 'Scott Speedman', 'Michael...","['Fantasy', 'Action', 'Thriller']",277,Underworld,Vampires and werewolves have waged a nocturnal...
"['Clive Owen', 'Jennifer Aniston', 'Vincent Ca...","['Drama', 'Thriller']",8999,Derailed,When two married business executives having an...
"['Matt Damon', 'Scott Bakula', 'Joel McHale']","['Drama', 'Comedy', 'Crime']",11323,The Informant!,A rising star at agri-industry giant Archer Da...
"['Anthony Hopkins', 'Debra Winger', 'John Wood']","['Drama', 'Romance']",10445,Shadowlands,"C.S. Lewis, a world-renowned writer and profes..."
"['Rob Schneider', 'Eddie Griffin', 'Jeroen Kra...",['Comedy'],11453,Deuce Bigalow: European Gigolo,Deuce Bigalow goes to Amsterdam after a little...
"['Vince Vaughn', 'Cobie Smulders', 'Chris Pratt']",['Comedy'],146239,Delivery Man,An affable underachiever finds out he's father...
"['Ewan McGregor', 'Stellan Skarsgård', 'Damian...",['Thriller'],205588,Our Kind of Traitor,A young Oxford academic and his attorney girlf...
"['Jason Biggs', 'Steve Zahn', 'Jack Black']","['Comedy', 'Crime', 'Romance']",10878,Saving Silverman,A pair of buddies conspire to save their best ...
"['Zachary Gordon', 'Robert Capron', 'Devon Bos...","['Comedy', 'Family']",82650,Diary of a Wimpy Kid: Dog Days,School is out and Greg is ready for the days o...
"['John Leguizamo', 'Adrien Brody', 'Mira Sorvi...","['Thriller', 'Drama', 'Crime']",10279,Summer of Sam,"Spike Lee's take on the ""Son of Sam"" murders i..."
"['Kevin Smith', 'Jason Mewes', 'Ben Affleck']",['Comedy'],2294,Jay and Silent Bob Strike Back,When Jay and Silent Bob learn that their comic...
